sentence_index	sentence
21	ao ferz ah brehth ahv dhah frehsh ehr ahv truw sah fih stah key shahn .
22	ah thaot fahl , prow vaa kah tihv , ihn sih stahn tliy hhyuw mah nay zihng fihlm .
23	wihdh ah kaest dhaet ihn kluwdz sahm ahv dhah taap aek terz wer kihng ihn ihn dih pehn dahnt fihlm , lahv liy & ah mey zihng ihn vaalvz ahs bih kaoz iht ihz sow ihn say sihv , sow bleakly ah myuw zihng ah bawt hhaw wiy gow ah bawt aw er lihvz .
24	ah dih ster bihng ahnd fray tah nihng liy ih vaa kah tihv ah seh mbliy ahv ih mahjh riy ahnd hhihp naa tihk myuw zihk kahm powzd bay fih lahp glaes .
25	naat faor eh vriy wahn , baht faor dhowz wihdh hhuwm iht wihl kah nehkt , iht ehs ah nays dih paar cher frahm staen derd muw viy gow ihng fehr .
26	skaorz ah fyuw poynts faor duw ihng waht iht dahz wihdh ah deh dah key tahd ahnd good-hearted prah feh shah nah lih zahm .
27	ah key zhah nah liy meh lah drah mae tihk , iht ehs aol sow ehk striym liy ih fehk tihv .
28	aen ay diy ah lih stihk lahv stao riy dhaet brihngz awt dhah ley tahnt 15-year-old row maen tihk ihn eh vriy wahn .
29	aet ah bawt 95 mih nahts , treh zher plae naht meyn teynz ah brihsk peys aez iht rey sahz thruw dhah fah mihl yer stao riy .
30	hhaw eh ver , iht laeks graen duwr ahnd dhaet eh pihk kwaa lah tiy ao fahn ah sow siy ey tahd wihdh stiy vahn sahn ehs teyl aez wehl aez wihdh er liy er dihz niy eh ferts .
31	iht hhehlps dhaet lihl baw waw ... townz dawn hhihz paynt sayzd gaeng stah aekt tuw pley sahm wahn hhuw rih zehm bahlz ah riyl kihd .
32	geh rahn tiyd tuw muwv eh niy wahn hhuw eh ver shuhk , rae tahld , aor rowld .
33	ah mae ster fahl fihlm frahm ah mae ster fihl mey ker , yuw niyk ihn ihts dih sehp tihv grihm nahs , kahm peh lihng ihn ihts fey tah lihst worldview .
34	layt , kyuwt ahnd faor geh tah bahl .
35	ihf dhehr ehs ah wey tuw ih fehk tihv liy tiych kihdz ah bawt dhah deyn jherz ahv drahgz , ay thihngk iht ehs ihn praa jhehkts layk dhah -lrb- ahn faor chah naht liy r-rated -rrb- peyd .
36	wayl iht wuhd biy iy ziy tuw gihv krahsh dhah nuw tay tahl ahv tuw weh dihngz ahnd ah fyuw ner ahl , iht ehs ah faar maor thaot fahl fihlm dhaen eh niy slays ahv hhyuw graent wihm siy .
37	dhow eh vriy thihng mayt biy lih ter aht ahnd smaart , iht neh ver tuhk aof ahnd aol weyz siymd stae tihk .
38	cantet per fahk tliy kaep cherz dhah hhow tehl laa biyz , two-lane hhay weyz , ahnd rowd sayd kae feyz dhaet per miy eyt vihn sahnt ehs deyz
39	mihz fulford-wierzbicki ihz aol mowst spuw kiy ihn hher sulky , kael kyah ley tihng low liy tah tern .
40	dhow iht ihz bay now miynz hhihz behst werk , laissez-passer ihz ah dih stihng gwihsht ahnd dih stihng ktihv eh fert bay ah bona-fide mae ster , ah fae sah ney tihng fihlm riyp liyt wihdh rih waordz tuw biy hhaed bay aol wih lihng tuw meyk dhah eh fert tuw riyp dhehm .
41	layk mowst baand aw tihngz ihn riy sahnt yihrz , sahm ahv dhah stahnts aar sow awt laen dihsh dhaet dhey baor der aan biy ihng cartoonlike .
42	ah hheh viy rih lay ahns aan cgi tehk naa lah jhiy ihz bih gih nihng tuw kriyp ihn tuw dhah sih riyz .
43	nuw tahn draoz aw er ah tehn shahn layk ah maeg naht , ahnd aekts ser kahlz er awnd hher beh ter nown co-star , maark waal berg .
44	dhah stao riy luw zahz ihts bayt ihn ah last-minute hhae piy ehn dihng dhaet ehs iy vihn lehs plao zah bahl dhaen dhah rehst ahv dhah pihk cher .
45	mahch ahv dhah wey , dhow , dhihs ihz ah riy freh shihng liy naa vahl rayd .
46	fuh ler wuhd shuhr liy hhaev kaold dhihs gaht siy ahnd aet taymz ihg zih ler ey tihng muw viy ah greyt yaarn .
47	dhah fihlm meyks ah straong keys faor dhah ihm paor tahns ahv dhah myuw zih shahnz ihn kriy ey tihng dhah mow tawn sawnd .
48	karmen muwvz layk rih dhahm iht sehlf , hher lihps chaen tihng tuw dhah biyt , hher laong , brey dihd hhehr duw ihng lih tahl tuw wayp ah wey dhah jeweled biydz ahv sweht .
49	gosling prah vaydz aen ah mey zihng per faor mahns dhaet dwaorfs eh vriy thihng ehls ihn dhah fihlm .
50	ah riyl muw viy , ah bawt riyl piy pahl , dhaet gihvz ahs ah rehr glihmps ihn tuw ah kahl cher mowst ahv ahs duw n't now .
51	tehn der yeht lacerating ahnd daark liy fah niy fey bahl .
52	mey biy spuw fihng aen iy ziy taar gaht -- dhowz owld ' 50 ehs jhay ahnt kriy cher fiy cherz -- baht ... iht aek naa lih jhihz ahnd seh lah breyts dhehr cheesiness aez dhah riy zahn way piy pahl geht ah kihk awt ahv waa chihng dhehm tah dey .
53	aen ehn gey jhihng ow ver vyuw ahv jhaan sahn ehs ihk sehn trihk ker ihr .
54	ihn ihts rae gahd , chiyp ahnd ah nah suw mihng wey , dhah muw viy werks .
55	sahm aek terz hhaev sow mahch ker ihz mah dhaet yuw 'd biy hhae piy tuw lih sahn tuw dhehm reh dihng dhah fown buhk .
56	hhyuw graent ahnd saen drah buh lahk aar tuw sahch lay kah bahl aek terz .
57	saen drah nettelbeck byuw tahf liy aor kah streyts dhah traen sfer mey shahn ahv dhah chih liy , nuh raa tihk , ahnd self-absorbed maar thah aez hher hhaart bih gihnz tuw ow pahn .
58	bih hhaynd dhah snow geymz ahnd lah vah bahl say bih riy ahn huskies -lrb- plahs wahn shiyp daog -rrb- , dhah pihk cher hhowsts ah parka-wrapped dows ahv hhaart .
59	eh vriy taym yuw thihngk ahn der kah ver brah dher hhaez rahn awt ahv stiym , iht fayndz ah nuw wey tuw ser prayz ahnd ah myuwz .
60	mae nih jhihz tuw biy er ih jhah nahl , iy vihn dhow iht rihps aof meh niy ahv ihts ay diy ahz .
61	singer\/composer bray ahn ae dahmz kahn trih byuwts ah sluw ahv saongz -- ah fyuw pah tehn shahl hhihts , ah fyuw maor sihm pliy ihn truw sihv tuw dhah stao riy -- baht dhah hhowl pae kahjh ser tahn liy kaep cherz dhah ihn tehn dahd , er , spih raht ahv dhah piys .
62	yuw 'd thihngk bay naw ah meh rah kah wuhd hhaev hhaed ih nahf ahv plah kiy brih tihsh ihk sehn trihks wihdh hhaarts ahv gowld .
63	yeht dhah aekt ihz stihl chaar mihng hhiyr .
64	weh dher aor naat yuw 're ehn lay tahnd bay eh niy ahv derrida ehs lehk cherz aan `` dhah ah dher '' ahnd `` dhah sehlf , '' derrida ihz aen ahn dih nay ahb liy fae sah ney tihng ahnd pley fahl feh low .
65	ah pleh zahnt ih nahf muw viy , hhehld tah geh dher bay skihld aan saam bahl aek terz .
66	dhihs ihz dhah behst ah meh rah kahn muw viy ah bawt trah bahld tiynz sihns 1998 ehs wah teh ver .
67	dihz niy hhaez aol weyz bihn hit-or-miss wehn brihng ihng bih lahvd kihdz ' buhks tuw dhah skriyn ... tahk eh ver lae stihng ihz ah lih tahl ahv bowth .
68	jhahst dhah ley bawr ihn vaalvd ihn kriy ey tihng dhah ley erd rihch nahs ahv dhah ih mahjh riy ihn dhihs chiaroscuro ahv maed nahs ahnd layt ihz ah staa nih shihng .
69	dhah ae nah mey tahd sahb plaat kiyn liy dih pihkts dhah ih ner strah gahlz ahv aw er ae dah leh sahnt hhih rowz - ihn sah kyer , ahn kahn trowld , ahnd ihn tehns .
70	dhah ihn vihn sah bahl wer ner hher zaag ihz ah layv ahnd wehl ahnd lih vihng ihn laa
71	maor tahn ihz ah greyt aek trahs paor trey ihng ah kaam plehks keh rihk ter , baht morvern callar growz lehs kahm peh lihng dhah faar dher iht miy aen derz frahm ihts shaa kihng staart .
72	paart ahv dhah chaarm ahv sae tahn ruwzh ihz dhaet iht ah voydz dhah aab viy ahs wihdh humour ahnd layt nahs .
73	sahn ahv dhah brayd mey biy ah guhd half-hour tuw laong baht kahmz riyp liyt wihdh ah flae ter ihng sehns ahv mih ster iy ahnd kway aht nahs .
74	ah sih mer ihng say kah laa jhih kahl draa mah ihn wihch dhah bersts ahv sah dahn vay ah lahns aar aol dhah maor staart lihng faor dhah slow bihl dahp dhaet hhaez prih siy dihd dhehm .
75	ah taot , ihn teh lah jhahnt say kah laa jhih kahl draa mah .
76	ah truw liy muw vihng ihk spih riy ahns , ahnd ah per fehkt ihg zaem pahl ahv hhaw aart -- wehn dahn rayt -- kaen hhehlp hhiyl , kleh rah fay , ahnd kahm fert .
77	dhihs deh lah kaht liy ahb zervd stao riy , diyp liy fehlt ahnd mae ster fah liy stay layzd , ihz ah tray ahmf faor ihts mae ver ihk der ehk ter .
78	aet hhaart dhah muw viy ihz ah dehf tliy raot sah spehns yaarn hhuwz rih cher shey dihngz werk aez kah ler ihng rae dher dhaen sahb stahns .
79	dhah ah pih rahns ahv treebeard ahnd gaa lahm ehs ihk spaen dahd rowl wihl iy dher hhaev yuw lah vihng waht yuw 're siy ihng , aor row lihng yaor ayz .
80	ay lahvd iht !
81	gaa lahm ehs ` per faor mahns ' ihz ihn kreh dah bahl !
82	ah skriyn pley maor ihn jhiy nyah sliy kahn strahk tahd dhaen `` mih mehn tow ''
83	ihf dhihs muw viy wer ah buhk , iht wuhd biy ah page-turner , yuw kah n't weyt tuw siy waht hhae pahnz nehkst nehkst .
84	haneke chae lahn jhihz ahs tuw kahn frahnt dhah riy ae lah tiy ahv sehk shuw ahl ae ber ey shahn .
85	ahb zaor bihng ahnd dih ster bihng -- per hhaeps maor dih ster bihng dhaen er ih jhah nah liy ihn tehn dahd -- baht ah lih tahl kleh rah tiy wuhd hhaev gaon ah laong wey .
86	iht ehs dhah behst fihlm ahv dhah yihr sow faar , dhah behnchm aark ah gehnst gehnst wihch aol ah dher behst pihk cher kahn tehn derz shuhd biy meh zherd .
87	peyn fahl tuw waach , baht vyuw erz wih lihng tuw teyk ah chaens wihl biy rih waor dihd wihdh tuw ahv dhah yihr ehs mowst ah kaam plihsht ahnd rih vah tihng fihlm per faor mahn sahz .
88	dhihs ihz ah staart lihng fihlm dhaet gihvz yuw ah fae sah ney tihng , aol biy iht dih preh sihng vyuw ahv ih raa niy ahn ruh rahl layf klows tuw dhah ih rae kiy baor der .
89	ah fyuw aarts iy fler ih shahz ah sayd , naark ihz aez grih tiy aez ah muw viy gehts dhiyz deyz .
90	wayl dhah ayl ihz bowth prih paa ster ahs ahnd ther ow liy misogynistic , ihts vih stahz aar ihn kreh dahb liy byuw tah fahl tuw luhk aet .
91	tah geh dher , tok ahnd ow aor kih streyt ah boy ahnt , daark liy fah niy daens ahv dehth .
92	ihn dhah praa sehs , dhey deh mahn streyt dhaet dhehr ehs stihl ah laat ahv layf ihn hhaong kaong sih nah mah .
93	der ehk ter kae per ihz ah fihl mey ker wihdh ah riyl flehr faor eh pihk laend skeyps ahnd aed vehn cher , ahnd dhihs ihz ah beh ter fihlm dhaen hhihz er liy er english-language muw viy , dhah overpraised ih lih zah bahth .
94	dhah muw viy ihz ah blaest ahv eh jhah key shah nahl eh ner jhiy , aez bawn siy ae nah mey shahn ahnd kae chiy saongz eh skaort yuw thruw dhah ihn tay er 85 mih nahts .
95	ah spaorts muw viy wihdh aek shahn dhaet ehs ihk say tihng aan dhah fiyld ahnd ah stao riy yuw kehr ah bawt aof iht .
96	dahg lay mahn , dhah der ehk ter ahv baorn , der ehkts dhah trae fihk wehl , gehts ah nays wihn triy luhk frahm hhihz low key shahnz , ahb zaorbz ahs wihdh dhah muw viy ehs spycraft ahnd yuw sahz dey mahn ehs ah bih lah tiy tuw biy fow kahst ahnd sihn sihr .
97	dhah tehn der nahs ahv dhah piys ihz stihl ihn taekt .
98	kaets yuw sahz aar kay vahl fuh tihjh , hhao rah fay ihng daa kyah mahnts ahv lihn chihngz , stihl fow tah graefs ahnd chaar mihng owld reel-to-reel rih kaor dihngz ahv meeropol ehn ter tey nihng hhihz chihl drahn tuw kriy eyt hhihz saong hhih ster iy , baht mowst paw er fahl ahv aol ihz dhah saong iht sehlf
99	layk dhah fihlm ehs aol mowst anthropologically dih teyld riy lah zey shahn ahv er liy - '80s sah ber biy ah , iht ehs sahg nih fih kahnt wih thawt biy ihng ow ver stey tihd .
100	wayl mahk faar lahn ehs ae nah mey shahn lihfts dhah fihlm ferm liy ah bahv dhah leh vahl ahv ah dher coming-of-age fihlmz ... iht ehs aol sow sow jhaa rihng dhaet iht ehs hhaard tuw geht baek ihn tuw dhah boyz ' stao riy .
101	ihf nah thihng ehls , dhihs muw viy ihn trah duw sihz ah praa mah sihng , ah nyuw zhuw ahl kaynd ahv say kah laa jhih kahl hhao rer .
102	ihn ah naor mahl skriyn praa sehs , dhiyz brow maydz wuhd biy behr liy ih nahf tuw sah steyn aen interstitial prow graem aan dhah dih skah ver iy chae nahl .
103	baht ihn ay maeks 3-d , dhah clichã©s dih sah pihr ihn tuw dhah vertiginous per spehk tihvz ow pahnd ahp bay dhah fah taa grah fiy .
104	writer-director ber ger ih mae jhah nah tihv liy faenz dhah ehm berz ahv ah daor mahnt nae shah nahl griyf ahnd kyuh riy aa sah tiy dhaet hhaez kael sah fayd ihn tuw kraa nihk sih nih sih zahm ahnd fihr .
105	... ah roller-coaster rayd ahv ah muw viy
106	ay ehn jhoyd taym ahv fey ver wayl ay waaz waa chihng iht , baht ay waaz ser prayzd aet hhaw kwihk liy iht fey dahd frahm may meh mer iy .
107	shah kaa gow ihz sah fih stah key tihd , braesh , saar daa nihk , kahm pliyt liy jhoy fahl ihn ihts ehk sah kyuw shahn .
108	stiyv er wahn ehs meh thahd ihz er nahst hemmingway aet aek seh ler ey tihd spiyd ahnd vaal yuwm .
109	ah rih freh shihng kao riy ahn fihlm ah bawt fayv fiy meyl hhay skuwl frehndz hhuw feys aen ahp hhihl bae tahl wehn dhey tray tuw teyk dhehr riy ley shahn shihps ihn tuw diy per wao terz .
110	aan dhah ser fahs , iht ehs ah lovers-on-the-run kraym flihk , baht iht hhaez ah laat ihn kaa mahn wihdh piesiewicz ehs ahnd kieslowski ehs er liy er werk , fihlmz layk dhah dah bahl layf ahv veh raa niyk .
111	dhah vael yuwz dhaet hhaev hhehld dhah ehn ter prayz kruw tah geh dher thruw priy viy ahs aed vehn cherz ahnd peh rahlz duw sow again-courage , self-sacrifice ahnd pey shahns ahn der preh sher .
112	ihf iht ehs paa sah bahl faor ah siyk wahl tuw aw chayn dhah er ih jhah nahl , dhehn sl2 dahz jhahst dhaet .
113	ah row maen tihk kaa mah diy dhaet aa per eyts bay dhah ruwlz ahv ihts own sehlfk ahn teynd yuw nah vers .
114	4 frehndz , 2 kah pahlz , 2000 maylz , ahnd aol dhah paebst paebst bluw rih bahn bihr dhey kaen drihngk - iht ehs dhah ahl tah maht rehd nehk road-trip .
115	dhah fihlm ihz ao fahn fihld wihdh ah sehns ahv pyuhr wahn der mahnt ahnd ihk sayt mahnt naat ao fahn siyn ihn tah dey ehs sih nah mah duw saar kae zahm
116	iht mayt biy tehmp tihng tuw rah gaard mih ster aen druw ahnd hhihz kah lae ber ey terz aez aad baolz , baht mih ster ern hhaart ehs kwih zah kahl , chaar mihng muw viy ah lawz ahs tuw siy dhehm , fay nah liy , aez aar tihsts .
117	ah feel-good pihk cher ihn dhah behst sehns ahv dhah term .
118	eh dah tahd ahnd shaat wihdh ah sihng kah pey tihd stayl mih mih kihng dhah werk ahv hhihz sahb jhihkts , prey ternz dhah ay diy ah ahv dhah daa kyah mehn ter iy aan ihts hhehd , mey kihng iht raw zihng , ihn vih ger ey tihng fahn lae kihng eh niy mtv pah fer iy .
119	ah mow stliy ihn teh lah jhahnt , engrossing ahnd say kah laa jhihk liy reh zah nahnt suspenser .
120	iht ehs dhihs memory-as-identity obviation dhaet gihvz siy kraht layf ihts ihn ter mih tahnt ah niyz , riy ah fer mihng dhaet long-held ih luw zhahnz aar ihn diyd riy ae lah tiy , ahnd dhaet ih rey sihng dhehm recasts dhah sehlf .
121	hip-hop hhaez ah hhih ster iy , ahnd iht ehs ah meh tah faor faor dhihs lahv stao riy .
122	ihn skowp , aem bih shahn ahnd ah kaam plihsh mahnt , chihl drahn ahv dhah sehn cher iy ... teyks kurys ' ker ihr tuw ah hhowl nuw leh vahl .
123	dhihs mey naat hhaev dhah drah mae tihk gut-wrenching ihm paekt ahv ah dher hhaa lah kaost fihlmz , baht iht ehs ah kahm peh lihng stao riy , meyn liy bih kaoz ahv dhah wey iht ehs towld bay dhah piy pahl hhuw wer dhehr .
124	biht wiyn dhah draa mah ahv kyuwb ?
125	ehs per sih nihl reh vah ley shahnz rah gaar dihng waht dhah shaap miynz ihn dhah bihg pihk cher , iconic kae rihk terz gambol fluidly thruw dhah stao riy , wihdh chaar mihng rih zahlts .
126	ah jhehn tahl , kahm pae shah naht draa mah ah bawt griyf ahnd hhiy lihng .
127	sahm wehr shaort ahv treh merz aan dhah maa dern b-scene : niy dher aez fah niy naor aez kleh ver , dhow aen agreeably ahn priy tehn shahs wey tuw spehnd nayn tiy mih nahts .
128	digital-video daa kyah mehn ter iy ah bawt stand-up kah miy diy ahnz ihz ah greyt glihmps ihn tuw ah veh riy dih fer ahnt werld .
129	ahn layk mowst tiyn flihks , swih mihng teyks ihts taym tuw tehl ihts stao riy , kaests mow stliy little-known per faor merz ihn kiy rowlz , ahnd ihn trah duw sihz sahm ihn triy gihng aem bih gyuw ah tiy .
130	aen enthralling , pley fahl fihlm dhaet kaan stahn tliy frah streyts aw er dih zay er tuw now dhah ` truwth ' ah bawt dhihs maen , wayl deconstructing dhah veh riy faor maet ahv dhah bay aa grah fiy ihn ah mae ner dhaet derrida wuhd dawt lahs gihv hhihz bleh sihng tuw .
131	`` ehk striym aaps '' ihk siydz ehk spehk tey shahnz .
132	guhd fahn , guhd aek shahn , guhd aek tihng , guhd day ah laog , guhd peys , guhd sih nih mah taa grah fiy .
133	yuw shuhd pey nayn bahks faor dhihs : bih kaoz yuw kaen hhiyr ah bawt sah fer ihng aef gaen reh fyuw jhiyz aan dhah nuwz ahnd stihl biy ah nah fehk tihd .
134	draa mahz layk dhihs meyk iht hhyuw mahn .
135	ah thahn der ahs rayd aet ferst , kway aht key dahn sihz ahv pyuhr fih nehs aar fyuw ahnd faar biht wiyn ; dhehr shaor tahjh day luwts dhah pow tahn siy ahv ah dher wayz rih spehk tah bahl aek shahn .
136	stihl , dhihs flihk ihz fahn , ahnd hhowst tuw sahm truw liy ehk sah lahnt siyk wahn sahz .
137	iht ehs aab viy ah sliy strahk ah rih spaan sihv kaord wihdh meh niy sawth kao riy ahnz , ahnd shuhd werk ihts mae jhihk ihn ah dher paarts ahv dhah werld .
138	rahn , duw n't waok , tuw siy dhihs baarbd ahnd brey sihng kaa mah diy aan dhah bihg skriyn .
139	ah klae siy ay tahm bay ah leh jhahnd hhuw mey hhaev nah thihng lehft tuw pruwv baht stihl hhaez dhah chaaps ahnd drayv tuw show hhaw ihts dahn .
140	iht ihz ney cher ah gehnst gehnst praa grehs .
141	ihn feh sahn dahn ehs hhao rer trih lah jhiy , dhihs thiym hhaez pruwvd ihm paor tahnt tuw hhihm ahnd ihz ah spehsh liy sow ihn dhah fah nae liy .
142	iht ehs naat ihg zaek tliy ah guhr mey miyl baht dhah fehr ihz fehr , iy vihn kah mihng frahm dhah drayv thruw .
143	dhihs ihz waht ay maeks waaz meyd faor : straep aan ah pehr ahv 3-d gaa gahlz , shaht awt dhah riyl werld , ahnd teyk ah vay keh riy ahs voy ahjh tuw dhah laest frahn tihr -- speys .
144	mihr liy aez ah tehk nih kahl , lah jhih stih kahl fiyt , rah shahn aark maarks ah sih nah mae tihk mayl stown .
145	-lrb- shway ger ihz -rrb- tae lahn tahd ahnd teh rahb liy keh rihz mae tihk , kwaa lah tiyz ih sehn shahl tuw bowth muw viy staarz ahnd sow shahl ae ner kahsts .
146	iht ehs ah greyt diyl ahv sih zahl ahnd veh riy lih tahl steyk .
147	baht waht spehk tae kyah ler sih zahl iht ihz !
148	... ihn dhihs ihn kaar ney shahn ihts fihz ihz ihn fehk shahs .
149	aen er ih jhah nahl jhehm ah bawt aen ahb seh shahn wihdh taym .
150	iht wihl dih layt nuw kah merz tuw dhah stao riy ahnd dhowz hhuw now iht frahm bay gaon deyz .
151	glao riy ah sliy guw fiy -lrb- ahnd gao riy -rrb- mihd nayt muw viy stahf .
152	dhah fihlm ow ver kahmz dhah reh gyah ler mayn fiyld ahv coming-of-age kliy sheyz wihdh pow tahnt dow sahz ahv aa nah stiy ahnd sehn sih tih vih tiy .
153	ihf yaor sehn sihz hhaev n't bihn dahld bay slae sher fihlmz ahnd gorefests , ihf yuw 're ah kaa nah ser ahv say kah laa jhih kahl hhao rer , dhihs ihz yaor tih kaht .
154	iht ehs ah may ner kaa mah diy dhaet trayz tuw bae lahns swiyt nahs wihdh coarseness , wayl iht peynts ah saed pihk cher ahv dhah sihng gahlz siyn .
155	iht ihz ihn tehn sliy per sih nihl ahnd yeht -- ahn layk quills -- dehf tliy showz ahs dhah tehm per ahv dhah taymz .
156	aez lo-fi aez dhah speh shahl ih fehkts aar , dhah fowks hhuw kaa bahld neh mah sihs tah geh dher ihn dahljh dhah faors ahv hhyuw mae nih tiy ow ver hhaard wehr ihn ah wey dhaet jhaorjh luw kahs hhaez laong fer gaa tahn .
157	layk mayk dahz n't wihn eh niy poynts faor er ih jhah nae lih tiy .
158	iht dahz sahk siyd bay faa low ihng ah feel-good faor myah lah wihdh ah wih nihng stayl , ahnd bay ao fer ihng ihts taar gaht aa diy ahns ahv er bahn kihdz sahm wehl kahm rowl maa dahlz ahnd aap tah mih zahm .
159	iht ehs ah hhuwt ahnd ah hhaef , ahnd ah greyt wey faor dhah ah meh rah kahn piy pahl tuw siy waht ah kaen dah deyt ihz layk wehn hhiy ehs naat gih vihng dhah seym 15-cent stahmp spiych .
160	faar frahm per fehkt , baht ihts hhaart ihz ihn dhah rayt pleys ... ih nah sahnt ahnd well-meaning .
161	ah saed , suw pih riy er hhyuw mahn kaa mah diy pleyd awt aan dhah baek rowdz ahv layf .
162	waydowntown ihz bay now miynz ah per fehkt fihlm , baht ihts bowsts ah hhyuwjh chaarm faek ter ahnd smaeks ahv er ih jhah nae lih tiy .
163	tihm ae lahn ihz greyt ihn hhihz rowl baht neh ver hhaagz dhah siynz frahm hhihz feh low kaest , aez dhehr aar plehn tiy ahv laefs ahnd guhd laynz faor eh vriy wahn ihn dhihs kaa mah diy .
164	maor ah lowd ahv ehn jhoy ah bahl , conan-esque claptrap dhaen dhah pah nih shihng , special-effects sowl ah saolts dhah mah miy pihk cherz reh prah zehnt .
165	ih naor mah sliy lay kah bahl , paart liy bih kaoz iht ihz ah wehr ahv ihts own graesp ahv dhah ahb serd .
166	hhiyr ehs ah brih tihsh flihk gliy fah liy ahn kahn sernd wihdh plao zih bih lih tiy , yeht jhahst aez dih ter mahnd tuw ehn ter teyn yuw .
167	iht ehs aen owld stao riy , baht ah layv liy skrihpt , shaarp aek tihng ahnd paar shah liy ae nah mey tahd ihn ter luwdz meyk jhahst ah kihs siym minty frehsh .
168	mahst biy siyn tuw biy bih liyvd .
169	rey liy ow tah ahnd jhey sahn patric duw sahm ahv dhehr behst werk ihn dhehr ahn der rih tahn rowlz , baht duw n't biy fuwld : now baa diy dih zervz eh niy pray zahz hhiyr .
170	eh vriy thihng dhaet hhaez tuw duw wihdh yvan ahnd shaar laht , ahnd eh vriy thihng dhaet hhaez tuw duw wihdh yvan ehs raem bahng kshahs , jhuw ihsh sih ster ahnd hher non-jew hhahz bahnd , fiylz fah niy ahnd truw .
171	dhah yihr ehs hhae piy ahst ser prayz , ah muw viy dhaet diylz wihdh ah riyl sahb jhehkt ihn aen aol weyz ser pray zihng wey .
172	faenz ahv beh hhahn ehs werk ahnd ahv ay rihsh muw viyz ihn jheh ner ahl wihl biy rih waor dihd bay borstal boy .
173	ihts mih ster iyz aar traen speh rahn tliy aab viy ahs , ahnd iht ehs tuw slow liy peyst tuw biy ah thrih ler .
174	-lrb- baht iht ehs -rrb- werth reh kah mehn dihng bih kaoz ahv tuw maar vah lahs per faor mahn sahz bay may kahl keyn ahnd brehn dahn frey zer .
175	dhah fihlm ihz feyth fahl tuw waht wahn prah zuwmz aar dhah buhk ehs twihn preh mah sahz -- dhaet wiy bih kahm hhuw wiy aar aan dhah baeks ahv aw er peh rahnts , baht wiy hhaev now ay diy ah hhuw dhey wer aet aw er eyjh ; ahnd dhaet taym ihz ah fliy tihng ahnd preh shahs kah maa dah tiy now mae ter hhaw owld yuw aar .
176	stiy vahn ern hhaart ehs hhowm spahn daa kyah mehn ter iy myuwl skih ner bluwz hhaez nah thihng baht lahv faor ihts paa siy ahv trey ler paark deh nah zahnz .
177	ah saa lahd liy siy waor dhiy chih ler .
